id,name,equipment_type,manufacturer,safety_surface_type,ada_accessible,street_number,street,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
323373270,Davis Playground,Spring Toy - Fire Truck,Playworld,SofSurfaces,f,5700,Hobart St,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43242747,-79.92458379
1974439658,Hays Playground,Swing 2 Bays,Iron Mountain Forge,Pour in Place,f,26,Hillburn St,Hays,5,31,42003562900,3,31,4,4-20,40.38343895,-79.93171711
1013833438,Hays Playground,Play Area 5 to 12,Iron Mountain Forge,Pour in Place,f,,Mifflin Rd,Hays,5,31,42003562900,3,31,4,4-20,40.38352439,-79.9319195
1374804864,Hays Playground,Spring Toy - Bulldozer,,Pour in Place,f,32,Hillburn St,Hays,5,31,42003562900,3,31,4,4-20,40.38349695,-79.93194988
1871620508,West Penn Playground,Swing 3 Bays,Gametime,Tiles,t,2978,Brereton St,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45615401,-79.97039827
2037338473,West Penn Playground,Play Area 2 to 5,Gametime,Tiles,f,408,30th St,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45625605,-79.9702471
972268905,West Penn Playground,Play Area 5 to 12,Gametime,Tiles,f,418,30th St,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45615357,-79.9701793
1652696845,West Penn Playground,Spring Toy - Pony,Gametime,Tiles,f,416,30th St,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45622222,-79.97016954
1534788211,Boundary Street Playground,Swing 2 Bays,Playworld,Tiles,f,,Boundary St,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43854154,-79.95025959
1468332873,Alton Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,,Andick Way,Beechview,4,19,42003191600,5,19,6,4-28,40.4141373,-80.0218378
305965506,Boundary Street Playground,Play Area 2 to 12,Playworld,Tiles,f,,Boundary St,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43849144,-79.95039126
